,1. TARGET,,,,,,,,,,,,,,,,,,,,,,
,구 분,,Y2025,vs Y2025,Y2026,,,,,,,,,,,,,,,,,,
,,,Monthly ave.,Target(%),Monthly ave.,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Sum,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,매출 달성률,, - ,-,81.8%,80.0%,78.2%,96.6%,106.3%,60.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,34.1%,,,,,
,영업이익 달성률,,-,-,45.8%,69.3%,-12.1%,-2078.1%,97.7%,46.3%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,19.1%,,,,,
,경상이익 달성률,,-,-,49.9%,78.7%,-13.6%,403.0%,103.8%,48.7%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,20.8%,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,3. 목표 달성률,,,,,,,,,,,,,,,,,,,,,,
,구 분,,2020년,전년대비,2021년,1월,2월,3월,4월,5월,6월,7월,8월,9월,10월,11월,12월,합계,,,,,
,판매금액,타이어,100%,-6.8%,93%,68%,90%,125%,83%,64%,0%,0%,0%,0%,0%,0%,0%,39%,,,,,
,(USD),튜브,100%,-26.0%,74%,66%,73%,58%,125%,49%,0%,0%,0%,0%,0%,0%,0%,31%,,,,,
,,플랩,100%,-4.0%,96%,91%,68%,103%,147%,70%,0%,0%,0%,0%,0%,0%,0%,40%,,,,,
,,아리드,100%,-4.1%,96%,127%,76%,107%,184%,52%,0%,0%,0%,0%,0%,0%,0%,40%,,,,,
,판매금액,USD,100%,-18.2%,82%,80%,78%,97%,106%,60%,0%,0%,0%,0%,0%,0%,0%,34%,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
